node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
181,4.475275,-2.583010,5.167207,0.541309,0.269623,0.060000,0.155794,0.060000,0.190330,0.060000,0.127525
182,4.548555,-2.651055,5.264735,0.504106,0.247475,0.080000,0.147169,0.080000,0.179793,0.060000,0.120465
183,4.594791,-2.739723,5.349597,0.091940,0.229148,0.080000,0.143263,0.080000,0.175021,0.060000,0.117267
184,4.649941,-2.823142,5.439860,0.455958,0.218272,0.080000,0.132009,0.120000,0.161272,0.060000,0.108055
185,4.714274,-2.899700,5.534676,0.446945,0.213402,0.080000,0.132382,0.100000,0.161728,0.060000,0.108361
186,4.787889,-2.967382,5.632871,0.447230,0.213733,0.080000,0.132574,0.100000,0.161963,0.060000,0.108518
187,4.870565,-3.023637,5.732782,0.455322,0.218427,0.080000,0.132619,0.100000,0.162018,0.060000,0.108555
188,4.961508,-3.065222,5.831994,0.468373,0.226177,0.080000,0.139584,0.100000,0.170526,0.060000,0.114256
189,5.058877,-3.088014,5.926893,0.458957,0.220134,0.080000,0.136840,0.100000,0.167174,0.060000,0.112010
190,5.150815,-3.048678,5.985427,0.454281,0.217397,0.080000,0.131676,0.120000,0.160865,0.060000,0.107783
191,5.248868,-3.029039,6.060172,0.467717,0.225384,0.080000,0.140777,0.100000,0.171984,0.060000,0.115233
192,5.326827,-2.966410,6.097104,0.454416,0.217932,0.080000,0.133917,0.100000,0.163603,0.060000,0.109617
193,5.345367,-2.868144,6.066234,0.394838,0.183590,0.080000,0.116225,0.100000,0.141990,0.060000,0.095136
194,5.435008,-2.823822,6.124809,0.442015,0.210668,0.080000,0.129938,0.100000,0.158742,0.060000,0.106360
195,5.522282,-2.775003,6.180311,0.470074,0.227531,0.080000,0.131222,0.120000,0.160311,0.060000,0.107411
196,5.544292,-2.677455,6.156942,0.489732,0.237040,0.080000,0.147249,0.100000,0.179891,0.060000,0.120530
197,5.566302,-2.579907,6.135115,0.515952,0.253573,0.100000,0.157459,0.120000,0.192365,0.060000,0.128888
198,5.623966,-2.498208,6.153863,0.545787,0.272692,0.080000,0.159564,0.080000,0.194936,0.060000,0.130611
199,5.678559,-2.414425,6.170533,0.583290,0.296003,0.100000,0.162406,0.100000,0.198408,0.060000,0.132937
200,5.618732,-2.334295,6.084331,0.628470,0.319334,0.100000,0.176612,0.140000,0.215763,0.080000,0.144565
201,5.565602,-2.249577,6.003042,0.624907,0.318190,0.100000,0.184711,0.140000,0.225657,0.080000,0.151194
202,5.520125,-2.160516,5.927867,0.344256,0.337429,0.100000,0.188912,0.140000,0.230790,0.080000,0.154633
203,5.483402,-2.067503,5.860228,0.654085,0.340882,0.100000,0.198363,0.140000,0.242335,0.080000,0.162369
204,5.495613,-1.968251,5.837445,0.636127,0.329373,0.080000,0.183015,0.080000,0.223586,0.080000,0.149807
205,5.475341,-1.870327,5.785973,0.296978,0.283597,0.080000,0.163995,0.120000,0.200349,0.060000,0.134237
206,5.575124,-1.863744,5.878396,0.567781,0.286322,0.100000,0.167517,0.140000,0.204652,0.080000,0.137121
207,5.628328,-1.779072,5.902811,0.540119,0.268699,0.100000,0.166997,0.140000,0.203030,0.080000,0.136695
208,5.681533,-1.694401,5.928812,0.528929,0.261231,0.100000,0.151188,0.140000,0.184703,0.060000,0.123754
209,5.734737,-1.609729,5.956378,0.520254,0.257006,0.100000,0.150471,0.140000,0.183827,0.060000,0.123167
210,5.787942,-1.525057,5.985488,0.530560,0.262817,0.100000,0.160634,0.120000,0.196243,0.080000,0.131487
211,5.838570,-1.438820,6.013244,0.555927,0.278707,0.100000,0.164536,0.120000,0.201010,0.080000,0.134681
212,5.886900,-1.351275,6.039995,0.594593,0.302732,0.060000,0.166916,0.060000,0.203918,0.060000,0.136629
213,5.963262,-1.286709,6.100501,0.671670,0.351034,0.100000,0.197245,0.160000,0.240969,0.080000,0.161454
214,6.035962,-1.218045,6.157635,0.615232,0.315556,0.100000,0.182544,0.140000,0.223010,0.080000,0.149421
215,5.963196,-1.149452,6.072968,0.437612,0.295591,0.120000,0.174362,0.160000,0.213014,0.080000,0.142724
216,5.894784,-1.076515,5.992275,0.561394,0.281966,0.100000,0.167336,0.140000,0.204430,0.080000,0.136972
217,5.831287,-0.999261,5.916285,0.550080,0.274913,0.100000,0.159627,0.140000,0.195013,0.060000,0.130662
